id,happiness,birth,edu,income,floor_area,height_cm,weight_jin,health,media_5
1546,4,1979,4,0,77,160,124,4,4
1547,2,1963,6,150000,110,178,162,2,1
1548,5,1988,6,0,200,160,140,3,5
1549,3,1960,4,25000,70,173,190,4,2
1550,4,1944,1,3000,20,165,140,4,-8
1551,4,1952,4,28000,130,173,120,2,1
1552,2,1965,4,12000,150,160,80,1,1
1553,3,1990,6,150000,110,172,160,5,5
1554,4,1959,3,4000,200,160,100,4,1
1555,4,1991,7,60000,20,154,100,5,5
1556,3,1980,4,10000,200,170,140,4,5
1557,4,1964,8,40000,78,163,116,4,5
1558,5,1966,4,40000,120,170,170,4,3
1559,4,1964,3,10000,300,150,100,2,1
1560,4,1955,7,50000,60,170,150,3,5
1561,4,1940,3,20000,50,162,145,2,1
1562,4,1936,3,4000,80,165,110,3,1
1563,4,1995,10,0,70,170,170,5,5
1564,4,1977,4,20000,72,165,152,4,5
1565,5,1950,1,1300,100,157,134,5,1
1566,4,1965,3,40000,330,156,126,2,1
1567,4,1942,3,20000,72,165,140,4,1
1568,5,1958,7,15000,200,170,160,5,1
1569,4,1965,6,20000,120,163,140,4,4
1570,4,1937,4,40000,120,172,126,5,1
1571,4,1973,3,4000,977,167,125,4,1
1572,5,1986,10,30000,108,160,100,5,5
1573,4,1954,3,10000,120,167,140,4,1
1574,3,1954,3,7000,80,170,149,2,1
1575,4,1985,12,35000,110,177,140,5,4
1576,4,1994,12,0,70,176,120,4,5
1577,4,1995,12,800,107,178,130,5,5
1578,1,1987,3,4000,100,168,128,3,1
1579,5,1973,12,30000,110,165,130,5,5
1580,5,1946,3,25200,52.7,168,140,5,1
1581,5,1950,4,38400,98,174,130,3,1
1582,4,1965,6,50000,140,170,130,4,5
1583,5,1966,4,-3,120,160,120,4,3
1584,4,1953,1,3000,70,160,100,4,1
1585,4,1957,3,2000,240,160,120,2,1
1586,4,1949,12,120000,160,165,130,4,2
1587,5,1957,3,2000,68,160,140,3,1
1588,4,1935,3,36000,470,163,110,4,1
1589,5,1950,1,8100,240,167,110,2,1
1590,4,1957,1,10000,80,160,120,4,1
1591,2,1954,1,0,200,160,120,2,1
1592,4,1988,13,0,50,160,92,4,5
1593,4,1968,6,90000,110,165,120,4,4
1594,2,1983,7,40000,110,177,120,2,5
1595,4,1957,9,50000,310,180,125,4,2
1596,4,1937,2,18000,40,158,40,2,1
1597,4,1959,6,2544,60,170,120,4,1
1598,5,1949,4,36000,240,156,100,4,1
1599,4,1966,3,10000,77,155,122,4,1
1600,4,1944,3,0,300,150,115,4,2
1601,3,1947,7,36000,70,150,110,3,1
1602,4,1945,3,-1,250,156,120,4,1
1603,4,1965,6,48000,70,162,110,5,1
1604,3,1959,3,24000,90,150,120,3,3
1605,1,1956,6,5000,60,174,140,2,1
1606,4,1993,12,20000,120,180,140,5,5
1607,5,1972,4,30000,88,168,140,5,1
1608,2,1985,4,36000,10,175,150,4,3
1609,3,1959,10,30000,64,174,126,3,4
1610,3,1963,7,60000,43,176,126,3,3
1611,4,1986,1,-2,70,155,83,3,1
1612,4,1955,1,0,80,155,100,1,1
1613,4,1970,4,25000,120,178,170,4,4
1614,4,1968,4,15000,300,150,86,5,1
1615,4,1980,4,40000,260,169,130,4,4
1616,2,1990,7,0,18,160,105,4,5
1617,4,1984,3,0,70,167,140,5,2
1618,4,1990,4,45000,350,170,120,4,5
1619,2,1940,1,2400,120,150,130,2,1
1620,4,1984,11,-2,110,174,140,4,5
1621,5,1937,1,25200,25,154,160,4,1
1622,3,1941,7,720,400,167,116,5,1
1623,4,1989,11,0,500,163,100,5,5
1624,4,1990,4,30000,14,185,190,5,5
1625,4,1966,4,2000,130,156,110,1,1
1626,4,1953,4,100000,120,171,160,4,4
1627,4,1949,9,60000,120,160,130,5,4
1628,4,1958,3,20000,80,180,170,5,2
1629,4,1995,10,-1,50,164,120,5,5
1630,2,1935,1,30000,40,160,130,1,1
1631,5,1966,4,0,150,162,160,5,1
1632,4,1968,4,35000,200,166,116,4,2
1633,5,1962,3,8000,240,178,105,5,1
1634,4,1953,3,4000,120,150,70,3,1
1635,4,1977,4,24000,87,165,55,3,1
1636,4,1952,6,20000,80,170,130,5,2
1637,3,1974,3,0,25,160,120,3,1
1638,4,1953,3,0,60,166,120,4,1
1639,4,1951,3,0,86,168,130,4,1
1640,5,1983,7,15000,40,162,110,4,3
1641,4,1975,4,20000,500,160,102,4,4
1642,4,1945,4,7000,120,157,110,3,1
1643,4,1966,4,5000,200,160,102,4,1
1644,4,1980,4,75000,60,170,140,5,2
1645,4,1979,10,24000,40,158,115,4,5
1646,3,1966,4,20000,70,160,146,3,2
1647,4,1976,11,70000,200,158,130,4,4
1648,4,1953,3,5000,72,170,147,3,1
1649,4,1940,13,60000,100,180,148,4,5
1650,3,1941,1,0,150,155,105,2,1
1651,3,1959,1,4000,220,144,90,3,1
1652,4,1973,13,150000,62,170,140,4,5
1653,3,1939,1,400,120,160,92,3,1
1654,3,1951,3,10800,30,155,140,2,1
1655,3,1970,4,0,120,155,150,2,1
1656,4,1981,4,2500,300,155,100,3,1
1657,4,1995,7,100000,60,157,115,2,4
1658,3,1989,4,12000,348,170,115,3,4
1659,4,1978,10,24000,53,153,95,4,4
1660,4,1958,4,21000,55,160,130,3,2
1661,4,1984,4,40000,50,175,160,5,1
1662,4,1962,3,2000,120,160,140,3,1
1663,4,1987,12,30000,95,175,140,5,4
1664,4,1975,3,15000,120,167,150,5,1
1665,2,1946,4,25000,54,170,65,3,1
1666,4,1969,10,30000,180,161,100,3,5
1667,4,1953,4,40000,100,181,140,3,4
1668,3,1983,10,50000,50,178,150,4,5
1669,4,1966,3,0,150,160,110,5,1
1670,3,1963,4,30000,38,169,130,3,2
1671,4,1995,12,-1,80,168,100,4,3
1672,5,1966,4,60000,90,174,140,5,5
1673,4,1977,6,50000,60,160,96,4,5
1674,4,1995,6,0,35,165,106,5,4
1675,4,1991,4,30000,300,170,120,4,2
1676,4,1944,3,5760,200,160,105,4,1
1677,4,1946,1,0,200,169,110,5,1
1678,5,1968,9,30000,196,168,154,3,5
1679,4,1979,11,40000,75,175,125,4,5
1680,5,1944,3,30000,120,174,140,4,1
1681,4,1963,6,40000,80,168,160,3,1
1682,3,1985,6,40000,90,176,140,4,4
1683,3,1961,6,6000,300,156,120,3,1
1684,4,1964,4,40000,45,160,135,4,1
1685,5,1966,6,50000,64,159,120,4,5
1686,5,1955,1,10000,220,161,150,3,1
1687,4,1965,3,30000,150,162,113,4,1
1688,4,1968,1,30000,130,167,128,2,1
1689,5,1941,1,4850,80,150,90,3,1
1690,4,1978,3,30000,120,160,120,4,2
1691,3,1959,6,24000,51,156,120,3,5
1692,4,1930,3,-3,70,166,100,4,1
1693,2,1959,3,0,40,152,112,3,1
1694,4,1995,7,100000,30,175,110,4,4
1695,3,1951,3,2000,120,160,120,2,1
1696,5,1950,1,12000,80,165,55,5,1
1697,3,1954,4,20000,57,172,130,4,1
1698,5,1958,6,-3,50,165,120,4,5
1699,4,1988,4,70000,30,178,148,4,5
1700,4,1980,9,50000,90,157,90,4,5
1701,4,1940,3,10000,200,160,110,3,1
1702,4,1965,6,-3,150,170,150,4,1
1703,-8,1950,3,10000,94,172,150,5,1
1704,4,1955,4,20000,150,160,130,5,1
1705,4,1959,1,30000,90,166,120,3,1
1706,4,1955,4,5000,90,175,110,3,4
1707,4,1991,4,30000,60,172,138,4,5
1708,3,1942,1,0,50,166,120,2,1
1709,4,1945,3,1140,80,153,106,2,1
1710,5,1980,3,0,85,165,160,4,1
1711,5,1983,11,100000,117,155,120,4,4
1712,3,1981,7,20000,140,165,106,3,5
1713,3,1980,6,30000,38,167,110,3,4
1714,5,1930,1,4000,12,150,120,3,1
1715,5,1987,4,0,150,165,100,5,3
1716,4,1981,7,50000,94,160,106,3,4
1717,4,1930,1,6000,67,155,90,4,1
1718,4,1990,13,5000,80,178,135,5,4
1719,4,1977,3,2000,200,160,110,4,1
1720,4,1978,4,30000,90,170,160,4,3
1721,5,1935,1,-1,150,150,80,4,1
1722,4,1990,7,40000,12,173,120,5,5
1723,4,1969,4,30000,200,168,120,5,1
1724,5,1960,6,0,240,160,90,3,1
1725,3,1940,1,0,100,160,100,3,1
1726,4,1973,4,12000,120,160,130,4,2
1727,4,1991,4,40000,180,175,120,5,5
1728,4,1968,6,30000,96,176,140,4,3
1729,4,1966,3,1000,80,160,120,4,1
1730,4,1972,3,30000,270,155,100,4,1
1731,4,1970,3,20000,100,165,130,1,1
1732,4,1944,7,30000,135,160,120,2,1
1733,5,1976,4,24960,79.8,175,130,5,4
1734,4,1965,3,0,200,165,115,5,1
1735,5,1991,4,0,180,165,110,5,3
1736,4,1944,4,23000,120,173,140,4,1
1737,5,1964,6,20000,180,165,130,4,1
1738,5,1997,6,0,160,176,150,5,4
1739,4,1996,12,0,119,175,127,5,5
1740,1,1942,4,30000,37,171,140,5,5
1741,3,1962,3,30000,160,165,105,2,1
1742,4,1957,6,0,150,158,110,2,1
1743,2,1968,1,6000,60,169,120,2,1
1744,4,1965,11,-3,60,174,160,3,3
1745,4,1953,1,5000,60,152,100,4,1
1746,4,1991,4,30000,100,170,120,4,4
1747,4,1962,4,-1,240,153,98,2,1
1748,3,1932,6,36000,56,168,100,2,1
1749,3,1958,3,10000,35,165,109,2,1
1750,5,1956,4,20000,90,173,180,4,1
1751,5,1969,4,5000,400,160,110,4,3
1752,4,1973,3,2000,360,145,94,4,2
1753,3,1977,4,0,60,160,120,3,3
1754,2,1957,4,1200,260,170,140,4,1
1755,5,1949,3,24960,152,160,96,4,1
1756,5,1978,4,25000,120,178,130,5,1
1757,3,1943,3,1200,130,160,130,3,1
1758,3,1969,6,31000,46,175,130,3,4
1759,3,1964,4,10000,54,156,122,4,1
1760,2,1970,3,5000,130,178,140,5,1
1761,4,1970,3,0,78,163,140,5,4
1762,4,1946,3,25000,120,175,140,4,1
1763,4,1955,9,40000,110,167,130,4,5
1764,4,1976,4,100000,89,173,79,4,2
1765,4,1970,4,30000,10,168,110,4,2
1766,5,1971,6,50000,114,168,130,4,4
1767,4,1963,4,-3,120,175,180,2,5
1768,4,1962,4,70000,120,175,150,5,3
1769,4,1997,6,5000,200,160,80,4,4
1770,4,1980,6,30000,58,170,140,4,4
1771,4,1963,11,130000,139,175,138,4,4
1772,3,1952,3,2000,60,155,110,4,1
1773,4,1965,4,0,140,178,202,2,2
1774,1,1968,1,4500,220,150,100,2,1
1775,5,1989,4,8000,100,164,120,5,3
1776,5,1941,1,-2,240,160,100,4,1
1777,4,1956,4,28000,44,168,110,4,1
1778,4,1971,12,60000,131,176,140,3,4
1779,4,1954,6,2000,233,170,120,2,1
1780,2,1978,4,0,200,162,98,4,1
1781,4,1952,1,-1,108,178,115,4,1
1782,4,1990,10,60000,150,156,92,5,5
1783,4,1960,1,50000,200,178,150,4,1
1784,2,1956,6,50000,23,170,150,4,1
1785,2,1964,1,0,170,158,126,2,1
1786,4,1991,12,30000,110,165,130,3,4
1787,5,1954,4,39600,44.9,160,60,3,5
1788,5,1963,4,20000,10,165,126,3,1
1789,5,1958,1,10000,90,175,130,5,1
1790,5,1974,4,0,90,160,135,5,1
1791,4,1951,4,5000,80,180,125,3,1
1792,5,1968,4,25000,68,156,115,4,1
1793,2,1980,7,5000,60,165,120,3,4
1794,4,1939,3,14400,40,168,110,2,1
1795,4,1955,6,19000,130,163,110,5,2
1796,4,1962,4,36000,41,160,120,3,1
1797,4,1962,4,0,160,156,100,4,1
1798,4,1967,1,20000,40,155,110,4,2
1799,3,1956,1,5000,120,160,150,5,1
1800,4,1954,1,0,76,160,120,1,1
1801,2,1963,6,100000,100,172,130,4,2
1802,4,1988,5,60000,60,161,96,3,5
1803,5,1981,12,1000000,96,160,108,3,5
1804,4,1929,8,31000,53,160,145,2,1
1805,4,1977,4,50000,120,160,105,5,5
1806,4,1955,4,0,120,150,90,2,1
1807,4,1942,3,10000,54,160,130,3,1
1808,4,1958,1,20000,70,150,110,2,1
1809,4,1988,10,0,100,167,115,4,5
1810,4,1975,4,0,100,160,120,4,3
1811,3,1964,7,26000,60,168,150,3,3
1812,4,1964,3,16000,120,158,106,3,1
1813,4,1981,4,0,180,162,98,5,4
1814,4,1955,4,10000,90,160,100,2,1
1815,4,1982,13,100000,40,163,108,4,5
1816,4,1942,3,3000,70,160,90,4,1
1817,4,1976,4,10000,40,175,135,4,1
1818,5,1973,4,3000,68,152,114,3,4
1819,4,1975,3,10000,200,155,90,5,1
1820,4,1969,12,400000,35,172,150,3,4
1821,4,1946,3,10000,300,153,70,3,1
1822,4,1965,12,1000000,200,165,135,5,4
1823,4,1981,9,0,77,170,150,4,4
1824,4,1987,4,3000,80,170,110,5,5
1825,4,1966,3,24000,600,160,130,2,3
1826,5,1951,3,20000,190,160,100,5,1
1827,4,1942,7,5000,225,171,140,3,1
1828,3,1952,4,30000,30,162,130,3,1
1829,4,1939,4,36000,104,169,130,3,3
1830,5,1944,3,36000,78,158,120,3,1
1831,4,1963,3,8000,200,166,106,4,1
1832,4,1936,1,840,110,160,120,2,1
1833,4,1984,7,0,400,170,150,5,5
1834,4,1958,1,4000,90,156,95,4,1
1835,4,1991,4,40000,258,170,126,4,5
1836,4,1950,3,3000,150,172,140,5,1
1837,4,1940,7,48000,56.3,158,108,4,1
1838,4,1992,11,0,130,160,110,5,5
1839,2,1946,3,6500,25,156,90,2,1
1840,4,1984,10,48000,43,183,150,4,3
1841,4,1993,4,-2,200,155,105,5,2
1842,4,1986,4,0,234,170,130,5,4
1843,5,1960,4,30000,61,174,135,5,1
1844,4,1960,3,20000,100,172,128,5,1
1845,3,1976,10,20000,220,186,205,2,4
1846,5,1937,7,30000,85,172,130,4,1
1847,4,1990,9,67200,43.8,182,160,5,5
1848,4,1949,1,20000,130,168,125,4,1
1849,3,1969,3,0,90,150,92,3,1
1850,4,1957,6,39600,91,160,120,3,3
1851,4,1939,4,41700,15,178,138,4,1
1852,4,1997,6,0,80,160,90,5,4
1853,4,1977,8,25000,60,155,110,4,4
1854,4,1922,1,4000,75,158,80,3,1
1855,4,1971,4,0,70,168,114,5,1
1856,4,1995,11,-3,120,170,110,4,5
1857,2,1962,3,0,160,170,140,1,1
1858,5,1981,4,40000,60,180,260,2,4
1859,4,1970,4,5000,40,160,120,2,4
1860,3,1973,4,20000,63,160,145,3,3
1861,2,1994,6,-1,147,178,125,5,4
1862,5,1965,4,30000,200,160,120,5,5
1863,4,1946,1,0,100,145,80,2,1
1864,5,1951,4,660,46,153,110,5,3
1865,3,1978,6,50000,100,162,110,4,3
1866,4,1940,1,1000,20,160,140,3,1
1867,4,1989,4,7000,230,165,130,3,3
1868,5,1956,3,3000,140,170,120,5,1
1869,4,1948,3,2000,150,158,102,4,3
1870,3,1976,12,80000,79,160,96,4,5
1871,3,1953,3,10000,150,155,125,2,1
1872,4,1963,4,25000,190,171,138,4,1
1873,1,1933,3,40000,40,150,125,2,1
1874,4,1967,4,8000,290,158,119,4,1
1875,4,1996,4,-2,100,171,130,3,5
1876,4,1949,4,33000,43,178,140,3,3
1877,4,1978,9,23000,87,178,150,5,4
1878,4,1969,10,100000,140,170,140,3,4
1879,3,1975,4,110000,55,173,141,3,1
1880,5,1983,4,-1,92,165,148,4,3
1881,4,1970,5,60000,50,157,108,4,5
1882,4,1953,3,1000,100,155,130,2,1
1883,4,1971,4,13000,140,158,116,4,1
1884,4,1944,4,20000,200,165,140,4,1
1885,3,1967,10,20000,100,170,150,4,4
1886,5,1972,6,40000,400,160,100,4,2
1887,4,1976,3,10000,110,156,100,4,3
1888,4,1977,12,100000,80,164,120,4,5
1889,5,1990,12,25000,53,180,180,5,5
1890,4,1976,4,10000,120,155,110,4,3
1891,5,1972,6,45000,130,165,130,5,1
1892,5,1941,1,0,60,170,110,4,1
1893,4,1968,3,-3,8,158,118,5,3
1894,3,1969,9,40000,137,170,124,3,5
1895,4,1966,4,20000,120,170,140,4,2
1896,2,1944,3,0,50,160,80,1,1
1897,4,1988,13,30000,85,180,130,5,5
1898,4,1928,1,0,30,145,60,3,1
1899,4,1968,4,900000,162,170,156,5,3
1900,4,1967,4,0,150,158,85,4,1
1901,4,1989,6,20000,150,174,120,4,4
1902,2,1975,3,-3,100,158,120,4,1
1903,4,1953,3,1000,110,155,106,2,1
1904,4,1967,6,2000,108,175,150,5,1
1905,4,1982,4,-2,100,164,120,4,4
1906,4,1962,1,5000,240,156,120,4,1
1907,4,1930,4,58000,200,158,90,4,1
1908,2,1969,4,20000,96,165,110,4,5
1909,4,1973,4,-2,90,158,110,4,1
1910,4,1982,12,45000,30,160,110,4,5
1911,5,1988,4,36000,160,173,130,5,4
1912,4,1959,6,3600,60,164,120,5,5
1913,4,1967,4,-3,136,172,140,4,3
1914,5,1945,3,6960,120,158,96,4,1
1915,5,1928,2,0,48,156,140,3,1
1916,4,1955,6,25000,200,175,110,5,2
1917,4,1979,1,3000,161,164,120,4,1
1918,3,1970,11,30000,50,155,112,4,4
1919,5,1933,3,-1,100,165,85,3,1
1920,4,1977,6,0,100,160,120,5,1
1921,5,1978,12,50000,100,158,98,4,4
1922,4,1952,2,15000,120,165,100,4,1
1923,4,1953,6,40800,108,165,165,2,1
1924,4,1966,1,0,150,160,120,2,1
1925,4,1982,4,2000,100,150,120,4,1
1926,4,1980,4,70000,100,162,130,4,2
1927,4,1972,3,0,70,166,118,4,1
1928,4,1962,10,50000,70,170,138,4,2
1929,4,1987,10,-3,90,161,118,4,4
1930,4,1941,4,30000,120,158,142,1,1
1931,5,1957,3,15000,120,163,130,3,1
1932,4,1948,3,12000,160,150,120,3,1
1933,5,1955,1,3000,100,155,88,4,1
1934,4,1957,9,35000,200,164,160,2,1
1935,5,1994,4,19200,58,159,120,4,5
1936,4,1954,7,36000,100,160,110,4,4
1937,4,1988,4,30000,55,168,130,4,4
1938,4,1951,3,2000,104,150,115,2,1
1939,1,1970,3,3000,80,173,100,2,1
1940,5,1954,4,10000,120,170,140,3,1
1941,4,1957,6,10000,60,167,118,3,4
1942,4,1990,4,30000,60,170,130,4,5
1943,5,1948,3,6000,100,170,130,4,1
1944,4,1930,4,40000,46,165,100,3,1
1945,3,1981,7,20000,150,160,100,3,3
1946,4,1971,4,30000,80,170,150,4,1
1947,4,1947,1,26500,260,165,130,3,1
1948,4,1961,6,37200,33,168,156,1,1
1949,4,1956,13,210000,100,180,160,5,5
1950,3,1955,3,11000,120,170,55,4,1
1951,4,1956,6,35000,35,175,150,4,4
1952,4,1974,13,60000,63,152,85,3,5
1953,4,1976,4,15000,50,155,100,5,2
1954,3,1985,3,5000,60,170,144,5,1
1955,5,1962,4,30000,80,170,130,4,5
1956,4,1976,3,36000,130,160,110,3,4
1957,3,1947,7,24000,65,159,100,3,1
1958,4,1953,7,48000,44.2,167,106,4,4
1959,4,1979,4,20000,280,162,120,5,4
1960,4,1965,6,20000,20,170,120,4,1
1961,3,1976,3,40000,88,176,124,3,2
1962,5,1948,7,60000,160,165,140,4,4
1963,2,1968,1,6000,50,158,115,3,1
1964,4,1940,3,6000,50,158,130,4,1
1965,3,1991,10,50000,50,174,135,5,4
1966,4,1959,6,30000,60,179,130,4,4
1967,4,1970,6,0,120,158,120,4,3
1968,4,1968,7,30000,42,160,140,3,5
1969,5,1961,6,36000,94,161,136,4,4
1970,4,1976,3,0,270,155,120,3,4
1971,4,1945,3,8000,40,172,120,4,1
1972,2,1993,-8,50000,120,175,160,2,1
1973,4,1972,6,0,150,165,110,4,3
1974,4,1941,1,0,120,157,70,3,1
1975,3,1946,3,2000,65,165,110,3,1
1976,4,1973,4,24000,150,159,100,4,4
1977,4,1948,4,36000,41,155,80,2,3
1978,4,1978,3,0,40,160,130,5,4
1979,4,1967,3,2000,100,158,106,2,1
1980,2,1954,3,10000,100,149,96,3,1
1981,5,1942,1,1200,44,160,110,2,1
1982,4,1986,9,80000,60,180,146,5,4
1983,4,1954,4,100000,101,174,135,5,3
1984,4,1969,9,80000,130,162,125,4,3
1985,4,1989,13,100000,78,160,98,3,5
1986,4,1965,4,45000,120,170,160,5,1
1987,4,1985,11,30000,90,170,120,4,3
1988,2,1978,4,0,60,178,130,4,4
1989,3,1948,4,36000,14.6,155,105,4,1
1990,5,1962,6,30000,40,150,102,5,2
1991,5,1939,10,60000,79,168,150,4,2
1992,2,1989,10,40000,35,172,120,5,5
1993,4,1938,3,30000,45,160,150,4,1
1994,3,1935,1,900,90,150,78,2,1
1995,4,1987,12,80000,80,160,160,4,5
1996,3,1994,7,-3,25,175,145,5,5
1997,2,1942,1,10000,56,155,95,5,1
1998,5,1979,4,50000,95,158,104,3,5
1999,5,1965,1,1000,280,165,116,4,1
2000,5,1957,5,25200,43,175,130,4,1
2001,3,1946,4,1200,40,150,90,3,1
2002,4,1962,7,30000,79,156,100,3,2
2003,5,1988,6,15000,90,163,92,4,5
2004,4,1947,6,40000,56,177,155,3,3
2005,5,1934,1,0,100,150,95,2,1
2006,3,1966,4,20000,58,158,170,2,3
2007,4,1957,4,20000,100,168,140,4,1
2008,4,1943,7,6960,28,166,145,2,1
2009,4,1974,4,15000,90,160,106,5,4
2010,5,1940,12,43000,57,160,140,1,1
2011,3,1987,4,30000,300,170,150,5,1
2012,2,1947,3,0,90,176,160,1,1
2013,5,1975,4,24000,200,160,110,5,1
2014,4,1956,4,15000,110,155,107,2,1
2015,5,1951,12,70000,130,169,140,3,3
2016,5,1976,12,50000,40,170,135,3,4
2017,4,1946,1,0,120,156,126,2,1
2018,4,1983,6,12000,150,160,108,4,4
2019,5,1959,6,20000,21,159,104,5,4
2020,2,1972,10,10000,77,165,104,4,4
2021,3,1928,1,0,120,156,80,1,1
2022,4,1985,4,10000,84,160,110,3,4
2023,3,1948,1,1000,200,158,110,5,1
2024,4,1956,10,35000,135,170,135,4,5
2025,3,1933,4,40000,85,168,138,2,2
2026,3,1930,1,0,130,165,130,2,1
2027,4,1937,1,948,320,150,110,3,1
2028,4,1935,1,3600,120,153,90,2,1
2029,4,1942,1,1000,140,150,90,2,1
2030,4,1945,1,2000,300,165,100,3,1
2031,4,1970,6,50000,100,163,110,5,5
2032,5,1959,7,100000,59,168,176,2,4
2033,4,1948,1,10000,200,165,100,3,1
2034,3,1973,4,30000,100,170,170,1,4
2035,4,1956,3,24000,60,153,120,2,2
2036,4,1953,4,45600,34,172,172,4,1
2037,4,1972,1,10000,100,155,108,3,1
2038,3,1963,4,3000,140,162,110,2,-8
2039,4,1962,3,2000,120,160,100,2,1
2040,4,1950,3,3000,120,171,145,4,1
2041,4,1943,4,3000,200,153,123,2,1
2042,2,1950,4,43200,48,180,150,2,1
2043,5,1947,3,0,70,155,90,2,1
2044,4,1963,9,49200,60,160,130,5,3
2045,4,1950,6,30000,40,155,120,3,1
2046,4,1962,6,12000,53,158,120,2,2
2047,4,1963,3,70000,400,175,135,4,1
2048,2,1953,4,11400,18,163,120,2,1
2049,4,1958,3,500000,110,172,120,4,2
2050,4,1976,3,20000,200,160,110,5,1
2051,5,1948,9,100000,67,170,134,4,4
2052,4,1993,5,14000,240,178,138,4,5
2053,5,1970,4,100000,70,170,130,2,4
2054,3,1938,3,660,70,170,120,1,1
2055,4,1973,3,4000,200,155,100,3,1
2056,4,1973,4,20000,110,163,135,4,1
2057,4,1947,3,2000,300,169,144,2,1
2058,4,1942,1,0,149,163,95,4,1
2059,4,1969,3,-1,300,160,120,4,1
2060,4,1959,1,5000,80,158,105,3,1
2061,4,1964,4,20000,50,162,120,4,5
2062,5,1982,11,16800,80,163,110,5,5
2063,4,1965,4,20000,75,175,170,3,1
2064,4,1944,3,660,400,155,120,2,1
2065,4,1953,1,1800,200,160,92,4,1
2066,4,1947,3,0,60,165,100,2,1
2067,4,1988,5,30000,78,160,98,5,5
2068,5,1931,2,46000,68,177,120,1,1
2069,2,1949,7,40000,113,152,110,2,1
2070,3,1968,3,0,200,160,112,4,1
2071,4,1980,4,30000,100,173,150,5,5
2072,5,1943,7,35000,60,155,120,4,3
2073,5,1945,3,20000,40,168,140,4,1
2074,3,1968,4,10000,120,170,120,2,1
2075,4,1939,3,700,110,158,89,4,1
2076,5,1990,12,50000,77,163,98,4,5
2077,5,1948,3,900,80,150,110,4,1
2078,4,1970,4,-3,189,155,120,4,3
2079,4,1966,3,20000,180,160,120,4,1
2080,4,1994,10,0,113,178,125,4,4
2081,3,1981,10,35000,200,160,120,4,4
2082,3,1937,2,0,82,163,98,2,1
2083,5,1997,10,0,85,173,170,3,4
2084,4,1938,3,15000,52,158,104,2,1
2085,4,1972,9,25000,110,172,118,5,4
2086,3,1989,13,60000,200,158,100,4,5
2087,5,1968,12,50000,100,164,130,4,5
2088,4,1924,12,60000,110,150,96,2,1
2089,4,1967,4,0,120,158,134,3,1
2090,4,1980,12,60000,100,165,120,4,5
2091,5,1937,3,720,170,152,100,5,1
2092,3,1968,4,0,120,160,120,4,1
2093,4,1974,13,65000,60,163,106,4,4
2094,4,1946,1,0,80,150,90,4,1
2095,2,1959,4,20000,66,158,100,3,1
2096,4,1932,1,0,100,173,140,4,1
2097,4,1980,3,0,60,168,110,4,1
2098,5,1983,7,60000,84,160,160,3,5
2099,3,1967,3,0,70,175,100,1,1
2100,4,1933,3,31200,150,170,150,4,1
2101,5,1958,1,0,300,155,100,5,1
2102,4,1988,12,40000,90,165,120,5,5
2103,4,1956,6,35000,75,168,148,4,1
2104,5,1940,7,60000,57,153,139,4,1
2105,4,1941,1,720,40,150,90,2,1
2106,4,1951,3,-1,32,165,150,1,1
2107,5,1980,4,0,108,158,130,5,1
2108,3,1971,3,18000,260,145,145,4,2
2109,4,1950,3,0,600,160,100,4,1
2110,4,1945,1,3000,45,155,108,3,1
2111,4,1985,4,10000,79,166,138,2,1
2112,4,1963,3,3000,200,161,90,3,1
2113,4,1941,7,60000,100,168,125,3,5
2114,4,1970,4,20000,200,165,130,4,1
2115,2,1982,4,30000,120,175,150,5,3
2116,4,1965,6,30000,45,165,160,4,5
2117,4,1950,4,74400,52.6,170,170,5,1
2118,4,1958,6,20000,182,158,114,5,1
2119,3,1941,4,24000,80,158,138,2,1
2120,4,1991,3,-1,350,165,150,5,3
2121,5,1963,3,20000,260,170,120,4,1
2122,4,1961,1,-1,130,165,126,4,1
2123,3,1965,4,19200,70,170,140,3,3
2124,4,1973,12,500000,65,173,130,5,4
2125,2,1963,1,5000,350,150,96,2,1
2126,5,1967,4,0,110,156,140,4,1
2127,4,1967,1,2000,80,155,100,4,1
2128,2,1985,7,0,74,159,90,5,5
2129,5,1987,12,20000,107,179,138,5,5
2130,4,1970,7,-3,110,167,140,2,5
2131,4,1993,6,40000,180,172,120,4,5
2132,4,1978,11,50000,72,170,130,5,5
2133,5,1956,3,10000,180,155,110,3,1
2134,5,1955,4,18000,70,178,135,4,1
2135,4,1950,6,20000,54,165,110,1,1
2136,4,1945,12,120000,100,173,142,4,5
2137,4,1970,7,70000,92,170,124,3,3
2138,3,1961,1,0,300,157,110,2,1
2139,4,1950,1,800,230,158,108,3,1
2140,4,1940,3,36000,70,150,95,2,1
2141,4,1945,1,12000,70,150,100,3,2
2142,4,1977,11,60000,86.7,162,130,3,5
2143,5,1953,6,960,200,160,112,4,1
2144,4,1968,3,30000,360,170,120,4,1
2145,4,1989,4,20000,80,160,100,4,5
2146,4,1987,4,30000,42,175,127,4,5
2147,2,1960,6,40000,50,165,130,3,4
2148,4,1977,4,20000,496,167,150,4,4
2149,3,1992,12,50000,50,158,80,5,5
2150,3,1969,4,20000,31,172,180,3,4
2151,4,1925,1,-1,40,155,90,2,1
2152,4,1968,10,80000,65,160,125,3,5
2153,5,1983,4,-3,90,168,116,5,4
2154,4,1977,4,30000,115,159,108,3,3
2155,4,1963,13,-3,100,174,140,4,5
